Date,Total,Pos,Neg,Pos_Per
2020-03-12,9,4,5,44.44444444444444
2020-03-13,21,9,12,42.857142857142854
2020-03-14,19,8,11,42.10526315789473
2020-03-15,11,5,6,45.45454545454545
2020-03-16,10,7,3,70.0
2020-03-17,23,11,12,47.82608695652174
2020-03-18,12,6,6,50.0
2020-03-19,19,9,10,47.368421052631575
2020-03-20,8,4,4,50.0
2020-03-21,25,12,13,48.0
2020-03-22,17,4,13,23.52941176470588
2020-03-23,5,2,3,40.0
2020-03-24,3,1,2,33.33333333333333
2020-03-25,9,5,4,55.55555555555556
2020-03-26,13,2,11,15.384615384615385
2020-03-27,11,3,8,27.27272727272727
2020-03-28,14,8,6,57.14285714285714
2020-03-29,19,9,10,47.368421052631575
2020-03-30,15,7,8,46.666666666666664
2020-03-31,21,7,14,33.33333333333333
2020-04-01,6,4,2,66.66666666666666
2020-04-02,14,6,8,42.857142857142854
2020-04-03,11,6,5,54.54545454545454
2020-04-04,12,4,8,33.33333333333333
2020-04-05,9,6,3,66.66666666666666
2020-04-06,9,4,5,44.44444444444444
2020-04-07,5,2,3,40.0
2020-04-08,9,3,6,33.33333333333333
2020-04-09,3,1,2,33.33333333333333
2020-04-10,6,1,5,16.666666666666664
2020-04-11,8,2,6,25.0
2020-04-12,3,1,2,33.33333333333333
2020-04-13,3,2,1,66.66666666666666
2020-04-14,5,2,3,40.0
2020-04-15,3,1,2,33.33333333333333
2020-04-16,9,4,5,44.44444444444444
2020-04-17,4,2,2,50.0
2020-04-18,6,2,4,33.33333333333333
2020-04-19,8,1,7,12.5
2020-04-20,3,2,1,66.66666666666666
2020-04-21,3,1,2,33.33333333333333
2020-04-22,6,2,4,33.33333333333333
2020-04-23,11,3,8,27.27272727272727
2020-04-24,3,1,2,33.33333333333333
2020-04-25,7,2,5,28.57142857142857
2020-04-26,4,2,2,50.0
2020-04-27,7,2,5,28.57142857142857
2020-04-28,3,1,2,33.33333333333333
2020-04-29,8,3,5,37.5
2020-04-30,4,2,2,50.0
