Date,Total,Pos,Neg,Pos_Per
2020-03-12,9,4,5,44.44444444444444
2020-03-13,32,14,18,43.75
2020-03-14,17,4,13,23.52941176470588
2020-03-15,17,9,8,52.94117647058824
2020-03-16,12,4,8,33.33333333333333
2020-03-17,18,7,11,38.88888888888889
2020-03-18,7,4,3,57.14285714285714
2020-03-19,14,5,9,35.714285714285715
2020-03-20,20,10,10,50.0
2020-03-21,38,14,24,36.84210526315789
2020-03-22,34,17,17,50.0
2020-03-23,25,15,10,60.0
2020-03-24,19,9,10,47.368421052631575
2020-03-25,18,8,10,44.44444444444444
2020-03-26,27,11,16,40.74074074074074
2020-03-27,11,5,6,45.45454545454545
2020-03-28,25,7,18,28.000000000000004
2020-03-29,20,7,13,35.0
2020-03-30,25,10,15,40.0
2020-03-31,24,8,16,33.33333333333333
2020-04-01,15,5,10,33.33333333333333
2020-04-02,19,9,10,47.368421052631575
2020-04-03,11,4,7,36.36363636363637
2020-04-04,12,3,9,25.0
2020-04-05,18,6,12,33.33333333333333
2020-04-06,25,8,17,32.0
2020-04-07,21,8,13,38.095238095238095
2020-04-08,25,7,18,28.000000000000004
2020-04-09,18,7,11,38.88888888888889
2020-04-10,9,2,7,22.22222222222222
2020-04-11,12,7,5,58.333333333333336
2020-04-12,12,5,7,41.66666666666667
2020-04-13,6,2,4,33.33333333333333
2020-04-14,10,6,4,60.0
2020-04-15,17,9,8,52.94117647058824
2020-04-16,16,6,10,37.5
2020-04-17,12,5,7,41.66666666666667
2020-04-18,17,6,11,35.294117647058826
2020-04-19,15,8,7,53.333333333333336
2020-04-20,19,6,13,31.57894736842105
2020-04-21,13,3,10,23.076923076923077
2020-04-22,10,1,9,10.0
2020-04-23,11,8,3,72.72727272727273
2020-04-24,13,6,7,46.15384615384615
2020-04-25,8,3,5,37.5
2020-04-26,7,2,5,28.57142857142857
2020-04-27,7,2,5,28.57142857142857
2020-04-28,7,2,5,28.57142857142857
2020-04-29,11,6,5,54.54545454545454
2020-04-30,8,2,6,25.0
