Date,Total,Pos,Neg,Pos_Per
2020-03-12,9578,4238,5340,44.247233242848196
2020-03-13,16754,7173,9581,42.81365644025307
2020-03-14,7674,3417,4257,44.52697419859265
2020-03-15,8484,3671,4813,43.26968411126827
2020-03-16,9896,4296,5600,43.41147938561035
2020-03-17,13033,5603,7430,42.990869331696466
2020-03-18,9560,4199,5361,43.92259414225941
2020-03-19,12350,5641,6709,45.67611336032389
2020-03-20,11331,4924,6407,43.45600564822169
2020-03-21,11358,4845,6513,42.657157950343375
2020-03-22,10479,4324,6155,41.263479339631644
2020-03-23,9093,4079,5014,44.858682503024305
2020-03-24,8814,3969,4845,45.03063308373043
2020-03-25,8950,4163,4787,46.513966480446925
2020-03-26,10854,4903,5951,45.17228671457527
2020-03-27,8864,3904,4960,44.04332129963899
2020-03-28,8323,3548,4775,42.62885978613481
2020-03-29,7667,3270,4397,42.650319551323854
2020-03-30,6583,2858,3725,43.41485644842777
2020-03-31,8174,3528,4646,43.16124296550037
2020-04-01,7566,3328,4238,43.986254295532646
2020-04-02,6876,2973,3903,43.237347294938914
2020-04-03,6813,2773,4040,40.701599882577426
2020-04-04,6688,2869,3819,42.89772727272727
2020-04-05,5836,2567,3269,43.98560657984921
2020-04-06,6499,2697,3802,41.49869210647792
2020-04-07,4813,2093,2720,43.486391024309164
2020-04-08,5922,2563,3359,43.27929753461668
2020-04-09,4756,2093,2663,44.00756938603869
2020-04-10,4590,1983,2607,43.20261437908497
2020-04-11,3703,1680,2023,45.36862003780718
2020-04-12,2547,1063,1484,41.735374950922655
2020-04-13,2089,842,1247,40.30636668262326
2020-04-14,4757,1882,2875,39.56274963212108
2020-04-15,4993,2113,2880,42.31924694572402
2020-04-16,5319,2201,3118,41.379958638841885
2020-04-17,5356,2254,3102,42.083644510828975
2020-04-18,3895,1536,2359,39.435173299101415
2020-04-19,3751,1509,2242,40.22927219408158
2020-04-20,3955,1643,2312,41.54235145385588
2020-04-21,4225,1764,2461,41.75147928994083
2020-04-22,4405,1802,2603,40.90805902383655
2020-04-23,4031,1702,2329,42.22277350533366
2020-04-24,4615,1912,2703,41.430119176598055
2020-04-25,3394,1211,2183,35.680612846199175
2020-04-26,2939,1256,1683,42.7356243620279
2020-04-27,3462,1494,1968,43.154246100519934
2020-04-28,3658,1520,2138,41.55276107162384
2020-04-29,4010,1682,2328,41.94513715710723
2020-04-30,3326,1349,1977,40.559230306674685
